ID,Item_name,Count
553,Hyderabadi Chicken Biryani,12
554,Rava Onion Dosa,12
555,Idly,12
556,Chicken Tom Yum Soup,12
557,Russian Salad,12
558,Veg Makhani,12
559,Kung Pao Chicken,12
560,Chicken Wings,12
561,Chicken Majestic,12
562,Cheese Masala Dosa,12
563,Banana Lassi,12
564,Honey Chilly Potato,12
565,Mooli Paratha,12
566,Vegetable Biryani,12
567,Chicken Kadhai,12
568,Paneer Tikka Pizza,12
569,Mix Veg,12
570,Gobhi Paratha,12
571,Rajma Chawal,12
572,Shanghai Chicken,12
573,Khara Bath,12
574,Chicken Fry Piece Biryani,12
575,Paneer Pepper,12
576,Sweet Fresh Lime Soda,12
577,Aloo Kulcha,11
578,BBQ Chicken Wings,11
579,Mix Fried Rice,11
580,Chinese Bhel,11
581,Paneer Chilli Gravy,11
582,Malai Tikka,11
583,Ginger Chicken Dry,11
584,Veg Maggi,11
585,Cheese Paratha,11
586,Veg Meal,11
587,Dal Kolhapuri,11
588,Jaljeera,11
589,Chicken Stroganoff,11
590,Royal Falooda,11
591,Papaya Milkshake,11
592,Chicken Chilli Garlic Noodles,11
593,Palak Khichdi,11
594,Cheese Pav Bhaji,11
595,Chicken Tikka Sandwich,11
596,Chicken Kali Mirch,11
597,Aloo Onion Paratha,11
598,Chicken Malai Tikka,11
599,Chicken Tikka Pizza,11
600,Hyderabadi Chicken,11
601,Chicken Salt and Pepper,11
602,Mushroom Pepper Fry,11
603,Chicken Pepper,11
604,Chow Chow Bath,11
605,Singapore Noodles,11
606,Rasmalai,11
607,Lemon Ice Tea,11
608,Chicken Meal,11
609,Methi Matar Malai,11
610,Pista Milkshake,11
611,Mixed Veg Raita,11
612,Mirinda,11
613,Chilly Potato,11
614,Chicken Singapore Noodles,11
615,Garlic Fried Rice,11
616,Lemon Coriander Soup,11
617,Hariyali Paneer Tikka,11
618,Veg Singapore Noodles,11
619,Kesari Bath,11
620,Rose Lassi,11
621,Veg Momos,11
622,Hong Kong Chicken,11
623,Malai Kabab,11
624,Achari Chicken,11
625,Golden Fried Prawns,11
626,Veg Biryani Combo,11
627,Mixed Schezwan Fried Rice,11
628,Pudina Chicken,11
629,Prawn Biryani,11
630,Ginger Prawns,10
631,Chicken Thali,10
632,Chicken Afghani,10
633,Paneer Handi,10
634,Fruit Punch,10
635,Aloo Puri,10
636,Chilli Prawns,10
637,Peri Peri Fries,10
638,Chicken Fried Momos,10
639,Kadai Mutton,10
640,Mixed Non Veg Fried Rice,10
641,Vada Pav,10
642,Gobi Tikka,10
643,Mutton Handi,10
644,Veg Crispy,10
645,Rava Onion Masala Dosa,10
646,Egg Burji,10
647,Paneer Manchurian Dry,10
648,American Chopsuey,10
649,Aloo Gobi Matar,10
650,Kheer,10
651,Jal Jeera,10
652,Chicken Chettinadu,10
653,Strawberry Smoothie,10
654,Prawns Schezwan Fried Rice,10
655,Paneer Schezwan,10
656,Roomali Roti,10
657,Schezwan Chicken Dry,10
658,Veg Club Sandwich,10
659,Green Peas Pulao,10
660,Chicken Momos,10
661,Paneer Burger,10
662,Mutton Korma,10
