ID,Resturant_Name,Location,Latitude,Longitude,Rating,No_of_votes,True_rating
10373,Hotel Uma Bhai,Electronic City,12.84425804,77.64438339,3.5,26,0.007594331
10447,Freeze It,Jayanagar,12.92487433,77.58486047,3.1,32,0.009086886
10450,The Schezuan,Rajarajeshwari Nagar,12.90281952,77.5211731,3.1,28,0.008034444
10827,Hunter's Lounge,Electronic City,12.73157458,77.70618483,2.9,9,0.002992286
10016,Kiko,Kammanahalli,13.02222218,77.63735734,3.4,7,0.002573701
10468,Firangi Bake,Whitefield,13.00848535,77.75885034,4.2,72,0.019848113
8084,Kakal-Kai Ruchi,JP Nagar,12.8873377,77.58206427,3.6,207,0.055238893
8858,Belly Deli,Frazer Town,13.00197339,77.62385778,4.1,176,0.047190097
9681,Best Of Bengal,Marathahalli,12.94016045,77.69599187,3.5,193,0.051533816
8891,Mother's Kitchen,RT Nagar,13.02149733,77.59784907,3.8,133,0.035811756
8848,Quickie's,Seshadripuram,12.98887643,77.57567994,3.8,59,0.016341566
9017,Biryani Express,Whitefield,12.98247797,77.7670693,3.6,58,0.0160354
8903,Mukati Kitchen,Thippasandra,12.97147753,77.65719026,3.7,132,0.035527118
8114,The Hyderbadi Chefs,Electronic City,12.884353,77.647917,0,2,0.000526221
11120,Spice Up,JP Nagar,12.90962918,77.59324808,3.8,139,0.03739042
8958,Refresh,Whitefield,12.96573078,77.7492363,3.6,278,0.073919751
8910,Bawarchi Biryani Mahal,Rajarajeshwari Nagar,12.9199011,77.5026114,3.3,205,0.054648089
9135,Drunkling - Sizzlers and Pub,Koramangala 5th Block,12.93703946,77.61979256,4.5,245,0.065430844
9169,Artinci Artisanal Ice Cream,Whitefield,12.99276246,77.71554809,3.7,28,0.008163607
9186,Combo Box,Koramangala 7th Block,12.924499,77.613559,3,17,0.005118699
9383,HongKong,Church Street,12.9745502,77.6069025,4.1,485,0.128491299
11222,Kokoro Ko,Nagawara,13.05869201,77.62427118,3.3,6,0.002289063
9137,99 Pancakes,Koramangala 5th Block,12.93218041,77.61415321,4.4,217,0.058042217
9109,NY Pizza & Waffles,Electronic City,12.8496567,77.6730877,3.4,233,0.062036716
9288,Amritsari Kulcha Land,BTM,12.900249,77.585896,4,228,0.060850326
10204,Pepper Grand.com,Sarjapur Road,12.899185,77.713514,3.6,18,0.005510973
9350,Maggi N Maggi House,Bannerghatta Road,12.90091983,77.60530868,3.4,7,0.002573701
9370,Punjabi Park,Whitefield,12.99746026,77.69059584,3,19,0.00564492
9372,Night Biryani,BTM,12.91489004,77.61589011,0,1,0.000263111
9505,Brookefields Mall,Brookefield,12.9660028,77.7179232,0,0,0
9506,Laziz Pizza,Vijay Nagar,12.961695,77.52645135,3.8,382,0.101326317
9247,Fruit Face,Indiranagar,12.98117408,77.63675954,3.4,14,0.004415476
9636,Muddhe Bytes,Bannerghatta Road,12.879703,77.61353,0,2,0.000526221
9645,Chatora,Marathahalli,12.94848868,77.71586507,3,82,0.022220893
8919,Andhra Biryanis,Whitefield,12.9843036,77.73316853,3.8,62,0.017130898
10721,CakeBox,Koramangala 4th Block,12.9334415,77.6269846,0,0,0
10005,Umerkot,Koramangala 4th Block,12.93153209,77.63269298,3.6,502,0.132856545
8047,BJ Friends Night Kitchen,KR Puram,13.02777784,77.69097906,3.4,58,0.015992346
9668,Bindu Garden Bar & Restaurant,HSR,12.90955107,77.64927506,3.1,32,0.009086886
10460,Sagar Fast Food,BTM,12.91758046,77.61262972,3.1,54,0.014875321
10342,Shalimar,Indiranagar,12.97831864,77.63734292,4,140,0.037696586
10551,The Charcoal Factory,Koramangala 6th Block,12.939119,77.627365,4.3,275,0.07328111
10189,Snack'Ups,Thippasandra,12.97206,77.65387,3.5,52,0.014435209
9002,Viceroy's Sarathi,Indiranagar,12.9790838,77.64253099,3.7,131,0.035264008
11414,Elegant Dining,Bannerghatta Road,12.8760863,77.61615414,3.7,199,0.053155534
10853,Dande's Hyderabad Biryani,Bannerghatta Road,12.89515602,77.61094999,3.6,177,0.047345572
